Datetime,Water Level (m)
2024-02-05 12:00:00,-0.56378293
2024-02-05 13:00:00,-0.4689876
2024-02-05 14:00:00,-0.30183452
2024-02-05 15:00:00,-0.15033472
2024-02-05 16:00:00,-0.021472106
2024-02-05 17:00:00,0.061209276
2024-02-05 18:00:00,0.06943948
2024-02-05 19:00:00,-0.013069141
2024-02-05 20:00:00,-0.13480815
2024-02-05 21:00:00,-0.23605984
2024-02-05 22:00:00,-0.32029536
2024-02-05 23:00:00,-0.3911563
2024-02-06 00:00:00,-0.44900987
2024-02-06 01:00:00,-0.47529697
2024-02-06 02:00:00,-0.40608445
2024-02-06 03:00:00,-0.27337196
2024-02-06 04:00:00,-0.17109682
2024-02-06 05:00:00,-0.115460485
2024-02-06 06:00:00,-0.12695056
2024-02-06 07:00:00,-0.21014962
2024-02-06 08:00:00,-0.3119732
2024-02-06 09:00:00,-0.406273
2024-02-06 10:00:00,-0.48925912
2024-02-06 11:00:00,-0.56006444
2024-02-06 12:00:00,-0.62469804
2024-02-06 13:00:00,-0.6674675
2024-02-06 14:00:00,-0.5919068
2024-02-06 15:00:00,-0.40438113
2024-02-06 16:00:00,-0.21962069
2024-02-06 17:00:00,-0.05226052
2024-02-06 18:00:00,0.064367786
2024-02-06 19:00:00,0.10419799
2024-02-06 20:00:00,0.034391563
2024-02-06 21:00:00,-0.10491022
2024-02-06 22:00:00,-0.22609265
2024-02-06 23:00:00,-0.32567787
2024-02-07 00:00:00,-0.41082385
2024-02-07 01:00:00,-0.4864458
2024-02-07 02:00:00,-0.5464777
2024-02-07 03:00:00,-0.5417613
2024-02-07 04:00:00,-0.37006685
2024-02-07 05:00:00,-0.21155001
2024-02-07 06:00:00,-0.10601678
2024-02-07 07:00:00,-0.079406925
2024-02-07 08:00:00,-0.15613511
2024-02-07 09:00:00,-0.2828905
2024-02-07 10:00:00,-0.39529002
2024-02-07 11:00:00,-0.49178877
2024-02-07 12:00:00,-0.57459754
2024-02-07 13:00:00,-0.6508404
2024-02-07 14:00:00,-0.7113292
2024-02-07 15:00:00,-0.6699841
2024-02-07 16:00:00,-0.44403413
2024-02-07 17:00:00,-0.219905
2024-02-07 18:00:00,-0.015305368
2024-02-07 19:00:00,0.12681329
2024-02-07 20:00:00,0.17196982
2024-02-07 21:00:00,0.0769186
2024-02-07 22:00:00,-0.08691325
2024-02-07 23:00:00,-0.2207945
2024-02-08 00:00:00,-0.327026
2024-02-08 01:00:00,-0.41803274
2024-02-08 02:00:00,-0.5019235
2024-02-08 03:00:00,-0.5772902
2024-02-08 04:00:00,-0.597041
2024-02-08 05:00:00,-0.39656875
2024-02-08 06:00:00,-0.1972299
2024-02-08 07:00:00,-0.054962408
2024-02-08 08:00:00,-0.0028042905
2024-02-08 09:00:00,-0.08193703
2024-02-08 10:00:00,-0.23225889
2024-02-08 11:00:00,-0.35691997
2024-02-08 12:00:00,-0.46109283
2024-02-08 13:00:00,-0.5492789
2024-02-08 14:00:00,-0.63136464
2024-02-08 15:00:00,-0.70007885
2024-02-08 16:00:00,-0.66525984
2024-02-08 17:00:00,-0.41146708
2024-02-08 18:00:00,-0.15871675
2024-02-08 19:00:00,0.06823686
2024-02-08 20:00:00,0.21911845
2024-02-08 21:00:00,0.24311349
2024-02-08 22:00:00,0.099375166
2024-02-08 23:00:00,-0.079937816
2024-02-09 00:00:00,-0.2168352
2024-02-09 01:00:00,-0.3263257
2024-02-09 02:00:00,-0.42320606
2024-02-09 03:00:00,-0.5136415
2024-02-09 04:00:00,-0.5958965
2024-02-09 05:00:00,-0.6108116
2024-02-09 06:00:00,-0.36652318
2024-02-09 07:00:00,-0.13843843
2024-02-09 08:00:00,0.024620118
2024-02-09 09:00:00,0.0738178
2024-02-09 10:00:00,-0.038783755
2024-02-09 11:00:00,-0.20425357
2024-02-09 12:00:00,-0.3331015
2024-02-09 13:00:00,-0.4391799
2024-02-09 14:00:00,-0.5298918
2024-02-09 15:00:00,-0.61582446
2024-02-09 16:00:00,-0.6890109
2024-02-09 17:00:00,-0.64871454
2024-02-09 18:00:00,-0.3658122
2024-02-09 19:00:00,-0.08748694
2024-02-09 20:00:00,0.15223724
2024-02-09 21:00:00,0.2895402
2024-02-09 22:00:00,0.25715658
2024-02-09 23:00:00,0.066130206
2024-02-10 00:00:00,-0.10648819
2024-02-10 01:00:00,-0.23645666
2024-02-10 02:00:00,-0.34265253
2024-02-10 03:00:00,-0.44004178
2024-02-10 04:00:00,-0.5319502
2024-02-10 05:00:00,-0.61080307
2024-02-10 06:00:00,-0.55761045
2024-02-10 07:00:00,-0.26028457
2024-02-10 08:00:00,-0.020849807
2024-02-10 09:00:00,0.13871652
2024-02-10 10:00:00,0.15207344
